track_id,city,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2nr5mg2QCNJAjpGlaT4qqx,Taipei,0.681,0.797,0,-7,1,0.0736,0.446,0.000162,0.175,0.573,130.018,audio_features,spotify:track:2nr5mg2QCNJAjpGlaT4qqx,https://api.spotify.com/v1/tracks/2nr5mg2QCNJAjpGl...,https://api.spotify.com/v1/audio-analysis/2nr5mg2Q...,214625,4
4ys0CGJFqvaTONcGaOUST3,Taipei,0.709,0.527,9,-7.742,1,0.0518,0.805,0,0.115,0.346,80.002,audio_features,spotify:track:4ys0CGJFqvaTONcGaOUST3,https://api.spotify.com/v1/tracks/4ys0CGJFqvaTONcG...,https://api.spotify.com/v1/audio-analysis/4ys0CGJF...,166500,4
2WOoqgleCZ3fvvlDy6g3r3,Taipei,0.67,0.725,7,-4.796,1,0.128,0.159,0,0.0775,0.782,139.974,audio_features,spotify:track:2WOoqgleCZ3fvvlDy6g3r3,https://api.spotify.com/v1/tracks/2WOoqgleCZ3fvvlD...,https://api.spotify.com/v1/audio-analysis/2WOoqgle...,250946,4
7M3pHQYadidtWeJHYUQYC4,Taipei,0.632,0.506,11,-7.472,0,0.0309,0.0605,0.000026,0.225,0.52,103.014,audio_features,spotify:track:7M3pHQYadidtWeJHYUQYC4,https://api.spotify.com/v1/tracks/7M3pHQYadidtWeJH...,https://api.spotify.com/v1/audio-analysis/7M3pHQYa...,274869,4
7D3GLV8YTCXrXQSq5oT6my,Taipei,0.846,0.548,6,-8.214,0,0.159,0.38,0,0.0935,0.784,91.003,audio_features,spotify:track:7D3GLV8YTCXrXQSq5oT6my,https://api.spotify.com/v1/tracks/7D3GLV8YTCXrXQSq...,https://api.spotify.com/v1/audio-analysis/7D3GLV8Y...,210989,4
7lKJdJUd6z8NYwkHMttPaz,Taipei,0.798,0.281,2,-10.048,1,0.0452,0.302,0.00000193,0.095,0.0772,120.009,audio_features,spotify:track:7lKJdJUd6z8NYwkHMttPaz,https://api.spotify.com/v1/tracks/7lKJdJUd6z8NYwkH...,https://api.spotify.com/v1/audio-analysis/7lKJdJUd...,200000,4
4ZvQypppu0q5MrGKYKtLgu,Taipei,0.502,0.328,9,-11.166,0,0.0521,0.778,0.081,0.097,0.256,180.078,audio_features,spotify:track:4ZvQypppu0q5MrGKYKtLgu,https://api.spotify.com/v1/tracks/4ZvQypppu0q5MrGK...,https://api.spotify.com/v1/audio-analysis/4ZvQyppp...,218667,4
7yHuSMNN2AxIut9lanZ494,Taipei,0.651,0.548,9,-8.928,1,0.0771,0.399,0,0.143,0.57,179.887,audio_features,spotify:track:7yHuSMNN2AxIut9lanZ494,https://api.spotify.com/v1/tracks/7yHuSMNN2AxIut9l...,https://api.spotify.com/v1/audio-analysis/7yHuSMNN...,166118,4
62Y2BnCQnAMj40MjgiIkDm,Taipei,0.648,0.626,7,-8.038,1,0.0705,0.15,0,0.102,0.809,145.055,audio_features,spotify:track:62Y2BnCQnAMj40MjgiIkDm,https://api.spotify.com/v1/tracks/62Y2BnCQnAMj40Mj...,https://api.spotify.com/v1/audio-analysis/62Y2BnCQ...,215172,4
08OkAXzE1uJu05zr13hkVf,Taipei,0.816,0.406,0,-10.805,0,0.0371,0.818,0.00000336,0.0692,0.593,118.99,audio_features,spotify:track:08OkAXzE1uJu05zr13hkVf,https://api.spotify.com/v1/tracks/08OkAXzE1uJu05zr...,https://api.spotify.com/v1/audio-analysis/08OkAXzE...,189827,4
5DOmSIrqT9BbYpU4aKOOFK,Taipei,0.565,0.288,10,-14.052,0,0.0336,0.854,0.0277,0.0732,0.267,70.012,audio_features,spotify:track:5DOmSIrqT9BbYpU4aKOOFK,https://api.spotify.com/v1/tracks/5DOmSIrqT9BbYpU4...,https://api.spotify.com/v1/audio-analysis/5DOmSIrq...,222981,4
0Tt4oakm29NpjAucWW91gD,Taipei,0.442,0.58,6,-9.641,0,0.0975,0.102,0,0.099,0.19,170.033,audio_features,spotify:track:0Tt4oakm29NpjAucWW91gD,https://api.spotify.com/v1/tracks/0Tt4oakm29NpjAuc...,https://api.spotify.com/v1/audio-analysis/0Tt4oakm...,186353,4
7L4WcYnU9KhCqfzYTaKenr,Taipei,0.759,0.648,6,-7.528,1,0.0489,0.487,0.000494,0.0974,0.452,115.987,audio_features,spotify:track:7L4WcYnU9KhCqfzYTaKenr,https://api.spotify.com/v1/tracks/7L4WcYnU9KhCqfzY...,https://api.spotify.com/v1/audio-analysis/7L4WcYnU...,271354,4
0xL1LoalFSqvsm3SMnroCk,Taipei,0.713,0.645,6,-6.043,0,0.0368,0.357,0.00116,0.0918,0.699,144.947,audio_features,spotify:track:0xL1LoalFSqvsm3SMnroCk,https://api.spotify.com/v1/tracks/0xL1LoalFSqvsm3S...,https://api.spotify.com/v1/audio-analysis/0xL1Loal...,164016,4
6PGJkZrbR06YVnS0w4thLk,Taipei,0.795,0.659,1,-6.274,0,0.031,0.123,0.0000207,0.169,0.65,119.932,audio_features,spotify:track:6PGJkZrbR06YVnS0w4thLk,https://api.spotify.com/v1/tracks/6PGJkZrbR06YVnS0...,https://api.spotify.com/v1/audio-analysis/6PGJkZrb...,235668,4
